number0,number1,number2,number3,number4
10,54,40,82,71
89,7,19,17,37
23,56,16,25,61
30,42,84,24,92
24,40,5,0,39
61,90,29,7,44
53,91,17,31,65
1,64,21,13,64
88,23,69,35,77
86,48,64,78,2
45,14,80,97,56
71,7,19,3,13
29,4,72,13,62
20,52,69,53,98
30,49,49,65,66
70,94,54,11,55
42,77,25,93,40
7,52,61,81,9
87,99,35,94,34
52,30,19,14,7
49,15,25,53,95
35,44,94,66,15
84,43,79,13,68
68,16,9,0,65
15,95,54,3,1
99,18,73,46,69
20,50,38,23,73
8,5,3,5,27
82,6,12,33,0
50,32,25,69,6
0,23,22,72,47
39,38,47,62,57
78,42,66,85,24
49,40,43,87,86
82,60,99,82,0
80,28,70,43,84
67,29,81,69,75
23,4,66,15,38
22,55,67,75,13
34,41,10,14,92
68,73,87,79,38
55,62,89,83,26
14,33,61,96,91
89,90,9,22,25
86,21,67,12,99
41,33,89,79,79
18,26,97,97,2
8,2,26,17,41
43,43,25,57,3
40,55,20,46,1
72,41,71,27,45
4,29,25,11,81
16,5,9,5,3
70,78,48,50,91
78,53,48,50,99
86,52,30,71,17
33,61,19,60,92
70,68,90,45,4
79,17,8,43,49
51,79,18,96,64
31,35,99,40,88
3,2,93,84,80
8,63,40,7,92
7,61,54,33,46
12,78,73,26,37
49,41,53,45,11
27,16,20,54,73
38,25,25,87,5
71,61,27,19,34
23,90,70,31,69
16,45,63,66,95
16,61,6,86,80
8,52,71,53,64
50,45,23,70,53
14,14,10,12,91
19,36,14,44,16
80,79,49,65,87
87,65,61,86,9
89,22,91,50,5
81,40,12,88,44
14,29,38,80,95
66,16,63,28,18
31,3,20,36,44
41,4,53,44,32
99,54,0,33,41
7,49,95,29,34
80,41,77,42,11
17,30,91,27,63
21,86,92,30,81
46,76,0,11,71
65,52,65,95,6
32,0,85,98,46
12,73,90,76,30
79,48,65,99,94
21,30,7,55,15
81,82,38,27,70
77,8,63,68,78
71,61,87,18,58
87,35,48,9,59
21,35,3,55,37
11,94,84,19,0
94,80,45,52,6
65,38,81,86,19
37,45,61,51,34
75,11,54,29,77
40,81,65,21,75
30,59,2,94,74
67,57,52,82,61
51,28,93,54,8
82,13,73,69,24
59,48,21,4,24
22,6,34,8,23
28,21,67,71,96
54,24,76,32,44
4,98,2,24,79
49,18,88,93,1
76,32,49,71,52
56,49,57,81,87
39,37,9,4,64
82,19,37,82,10
58,45,63,87,58
92,30,82,44,24
52,16,64,63,63
18,24,60,9,93
34,84,18,44,14
44,56,65,52,25
63,93,75,76,42
77,21,17,24,71
7,10,80,97,29
69,50,27,10,78
62,16,46,17,90
95,39,2,92,53
64,92,90,61,23
15,93,78,8,31
44,64,83,70,40
71,53,33,22,78
56,78,93,43,94
44,19,11,60,21
41,4,31,79,8
88,11,87,98,34
90,47,71,95,94
15,11,39,27,83
55,9,12,36,63
22,20,48,66,28
83,77,68,97,74
51,44,3,13,55
98,98,17,96,91
87,75,85,71,2
6,83,49,95,92
10,59,42,14,16
3,90,71,21,78
16,55,67,77,12
95,55,66,62,61
71,84,80,52,74
32,54,41,74,64
4,98,15,49,12
53,99,19,4,84
25,22,93,30,40
68,90,92,51,94
29,12,8,0,14
72,92,15,71,90
93,79,56,63,47
54,84,72,2,22
84,55,65,17,12
33,96,4,21,93
6,27,82,93,6
73,97,13,51,49
47,53,45,46,97
32,89,15,5,81
98,70,22,22,11
13,45,6,11,71
54,48,75,62,41
97,12,58,81,48
98,22,48,36,18
18,96,3,12,18
6,27,18,69,4
94,61,0,24,72
38,38,21,42,81
81,25,27,65,46
48,90,5,60,36
85,2,71,28,33
39,99,28,42,99
47,74,29,35,16
14,64,48,51,53
64,59,49,73,11
58,56,37,13,91
72,3,65,31,53
83,83,18,48,37
60,82,48,53,37
98,68,40,43,64
4,44,9,9,38
24,29,58,19,13
92,52,58,37,90
35,84,14,78,9
88,96,0,80,2
27,48,36,5,30
39,43,66,57,30
73,36,96,73,51
80,6,42,35,84
75,92,78,63,51
37,64,82,86,69
74,21,61,30,7
26,62,63,90,98
42,35,75,37,20
96,27,23,1,65
47,35,20,23,9
56,37,98,36,57
80,34,7,42,29
38,70,20,89,74
16,89,25,30,24
99,68,55,52,17
62,55,72,19,1
79,28,46,67,76
49,83,41,27,81
33,37,31,10,21
83,20,8,96,66
79,92,73,29,97
79,70,6,54,77
76,75,92,62,20
19,15,4,47,69
2,62,52,77,48
25,91,95,96,32
68,68,16,97,71
19,99,25,1,8
53,85,87,80,61
3,52,31,58,37
17,77,56,55,0
8,0,80,57,39
48,32,71,8,30
65,14,21,91,20
35,27,7,11,76
56,66,14,41,90
28,73,74,9,82
86,49,86,94,53
46,94,70,51,3
11,21,42,41,13
55,4,79,49,71
22,40,32,81,58
36,6,16,17,2
81,97,3,31,45
50,13,12,47,20
33,5,22,38,16
79,83,31,59,83
44,78,78,89,21
37,76,96,7,3
71,90,4,0,0
64,69,78,21,59
85,92,4,17,9
72,69,97,30,85
39,31,42,99,22
34,8,49,5,36
59,4,64,37,64
71,21,11,50,68
71,69,8,17,94
86,87,53,97,77
35,57,99,82,71
72,4,61,27,58
41,65,40,81,33
82,59,43,57,90
28,44,98,40,55
0,65,0,61,86
1,8,16,21,58
82,65,87,77,46
66,65,21,61,65
2,55,29,60,32
29,92,95,29,77
2,46,96,45,18
76,79,99,58,86
28,50,86,42,90
62,6,28,2,45
62,25,52,36,20
38,35,45,9,21
37,18,42,4,80
14,15,90,78,63
44,99,40,10,29
75,61,9,25,78
13,34,5,67,68
88,73,97,13,48
10,93,76,8,35
90,99,95,89,67
58,55,85,13,79
97,45,53,35,42
76,21,7,12,42
19,54,92,72,73
5,83,32,41,50
6,84,74,7,45
60,72,25,36,65
80,62,27,92,67
38,37,7,64,13
81,96,31,74,13
10,57,23,8,70
36,11,54,37,57
88,39,97,54,5
34,76,27,68,24
89,94,82,0,46
34,77,45,30,92
35,78,0,31,36
53,95,15,32,54
94,9,54,50,38
23,82,18,20,34
98,37,15,93,9
86,42,34,20,91
98,57,45,4,67
11,88,87,47,8
69,78,63,17,88
3,44,65,65,1
70,62,4,23,70
72,76,57,54,26
94,22,13,89,61
63,84,13,20,16
74,58,99,19,46
15,29,70,48,69
63,26,15,25,34
86,1,62,73,93
64,59,60,39,13
93,95,54,9,30
41,70,78,12,8
54,15,72,27,5
74,57,73,12,88
54,69,72,23,53
23,98,65,37,10
83,53,8,55,55
19,54,5,7,44
7,2,66,58,13
36,33,64,49,63
24,85,21,2,69
96,47,26,64,16
67,26,80,33,28
66,41,96,27,31
74,31,8,40,86
38,50,38,81,61
70,69,0,38,35
41,60,99,23,49
91,77,39,46,90
55,12,71,97,67
4,95,22,51,53
25,89,64,82,94
26,86,80,21,77
82,71,16,54,6
15,23,14,15,14
7,51,32,68,20
32,46,17,87,42
54,23,3,17,83
10,66,79,98,82
85,35,88,23,55
34,18,36,39,66
64,20,2,14,97
36,87,10,16,68
61,54,65,9,94
17,54,88,31,91
5,27,91,87,20
32,59,33,67,51
78,48,10,53,44
69,94,78,94,73
18,65,35,20,18
2,34,89,98,99
57,63,77,66,98
87,89,98,38,26
95,17,27,17,19
96,44,26,36,60
44,6,83,41,11
41,5,33,18,67
4,94,86,68,97
10,29,1,81,22
31,31,35,68,92
89,60,9,80,24
58,21,53,0,98
53,71,82,42,5
78,3,82,37,56
74,17,79,51,60
95,65,33,40,89
21,38,65,56,40
9,23,15,87,13
81,49,89,41,47
64,8,51,74,17
64,69,7,72,10
38,10,39,1,59
74,26,3,87,19
82,90,67,83,55
90,14,77,56,81
72,41,2,89,93
14,46,31,70,61
84,75,49,80,33
18,42,10,32,89
30,55,81,37,85
53,57,58,33,71
92,74,70,39,94
70,83,95,24,0
62,63,11,79,51
39,34,60,58,4
7,56,1,53,60
70,97,99,44,74
7,24,51,27,44
73,2,60,47,77
31,56,39,93,22
15,96,74,11,77
50,49,16,77,71
25,13,53,55,24
12,39,52,97,98
8,0,13,64,25
26,25,37,94,52
65,86,18,45,5
71,99,12,81,57
2,68,8,43,4
81,8,37,18,33
17,36,54,3,42
18,49,80,5,84
93,22,73,91,57
22,66,38,47,30
19,93,54,3,60
59,10,55,0,12
26,14,29,80,44
88,75,50,18,97
22,33,94,84,55
18,48,20,72,18
85,92,87,51,29
83,81,78,23,13
71,44,47,19,16
6,8,59,86,30
93,97,70,77,62
32,67,89,24,77
41,50,17,13,41
98,26,29,36,0
28,95,65,64,63
42,89,35,47,24
10,32,60,50,45
29,36,4,95,41
30,5,18,32,59
20,62,2,95,81
31,83,88,40,72
30,94,47,86,41
50,35,58,62,75
55,51,88,21,96
4,25,48,12,99
36,16,29,48,75
28,32,55,6,42
98,69,79,29,26
1,94,14,50,8
36,5,18,23,65
14,36,72,34,31
83,14,71,41,16
59,87,91,89,12
99,25,3,43,95
7,68,35,58,37
22,43,26,71,26
17,91,78,20,88
82,49,43,89,78
12,17,7,36,90
67,56,75,39,50
21,83,8,80,38
88,36,58,55,94
9,2,43,22,81
4,43,9,23,12
7,33,25,37,26
4,95,75,48,78
12,87,65,29,5
48,85,13,10,45
34,68,90,71,30
27,93,91,45,51
85,74,56,39,4
93,91,79,20,49
14,93,40,52,13
65,62,24,14,12
11,98,28,73,61
20,90,36,77,60
44,7,64,57,67
93,0,92,51,62
20,55,47,71,4
43,93,78,7,1
91,49,69,51,8
1,85,91,60,55
33,7,44,82,50
44,40,74,97,76
18,80,7,49,31
97,10,73,32,86
83,97,68,87,62
71,51,61,6,52
35,99,68,31,95
73,98,0,73,58
19,96,82,17,51
39,55,22,81,61
16,32,99,47,32
6,64,80,87,66
40,61,92,93,17
50,25,28,60,30
72,45,32,34,10
88,78,9,68,88
13,23,93,49,68
81,67,67,2,28
90,14,79,57,38
37,36,67,37,23
84,25,17,18,33
41,70,16,53,50
94,81,33,65,76
57,98,59,2,55
45,43,34,4,42
68,24,52,31,56
62,12,22,93,60
44,23,40,74,65
45,27,69,26,48
1,87,3,29,78
59,57,61,42,4
51,98,0,52,71
69,24,10,87,8
54,9,28,99,12
16,95,48,74,40
59,71,45,91,41
83,9,13,6,6
32,59,6,94,20
52,40,95,2,59
46,48,78,45,53
89,30,60,72,31
51,98,67,67,52
55,33,47,16,82
19,67,14,18,64
15,82,48,89,36
9,47,95,78,61
83,57,35,74,10
47,71,18,36,27
46,14,29,31,72
83,90,0,92,35
12,73,4,81,8
81,53,93,19,32
87,89,52,74,65
53,22,47,65,29
74,78,20,15,13
37,32,9,49,50
58,31,34,87,5
43,1,63,98,41
44,27,74,88,92
0,31,10,36,68
97,57,58,30,99
91,76,22,32,56
71,0,30,23,71
53,18,30,11,56
24,67,36,65,7
74,38,98,37,3
66,85,69,88,70
41,67,28,12,20
21,52,14,96,1
85,51,37,94,33
48,53,58,53,11
27,35,41,70,62
84,89,81,45,91
19,71,64,93,72
50,16,99,55,81
57,96,40,35,11
60,22,56,80,90
64,93,59,85,25
10,49,45,70,72
44,48,13,68,76
28,73,45,82,67
12,56,94,40,46
86,8,95,25,67
76,66,27,96,62
92,95,17,39,73
64,69,44,80,41
67,90,34,98,45
18,43,33,42,70
11,35,30,29,43
59,37,56,63,4
14,46,78,55,66
40,58,2,93,76
36,95,24,84,36
27,15,18,87,37
80,56,59,19,55
77,56,5,64,34
9,14,87,96,59
6,16,7,95,8
28,4,43,2,67
42,78,2,84,72
35,15,57,36,88
54,42,2,23,99
59,20,95,28,75
85,42,13,73,18
87,84,59,88,81
8,91,34,91,7
69,64,40,80,73
98,1,56,48,27
62,67,51,34,38
32,34,66,62,41
5,53,66,81,51
36,86,72,25,94
89,39,27,35,97
74,19,3,10,21
95,47,96,23,21
31,85,35,48,50
22,92,35,49,40
39,97,46,87,42
17,81,83,0,43
68,51,8,51,33
52,96,85,85,33
67,36,94,92,96
54,65,64,98,85
97,33,46,91,58
16,87,56,4,77
70,54,40,16,52
41,48,40,37,99
55,3,98,20,17
7,50,36,2,33
20,85,76,3,95
37,45,71,10,47
50,89,1,59,71
90,82,27,16,14
31,78,23,11,78
95,59,96,89,55
76,61,17,52,4
84,98,46,70,7
23,2,69,16,16
57,96,5,29,77
57,78,60,78,36
0,50,84,17,8
8,82,29,34,4
75,26,20,57,17
37,28,10,73,79
64,19,65,97,65
85,14,14,61,95
79,97,76,37,90
88,65,79,85,21
10,22,92,7,74
41,44,13,23,36
23,52,90,71,33
75,40,42,62,59
18,91,3,40,65
17,99,57,97,15
84,25,12,72,59
45,81,40,79,4
41,78,86,24,46
87,53,61,92,23
23,41,2,79,0
37,42,38,5,90
73,86,68,8,57
94,36,10,71,89
51,4,81,5,53
41,76,22,9,95
39,2,19,94,52
58,29,24,80,4
72,68,98,93,26
36,54,40,86,39
91,45,3,74,72
96,86,11,34,28
85,29,73,75,93
54,0,33,92,73
96,95,25,60,95
8,64,17,73,39
64,5,51,63,96
3,9,47,84,47
53,21,8,33,73
83,67,28,94,83
44,67,24,27,71
72,82,61,24,11
53,96,75,46,66
86,26,15,17,85
84,82,30,32,74
11,45,91,56,68
49,86,89,82,76
78,13,30,94,96
96,13,76,46,41
10,42,65,48,44
59,77,0,55,60
35,15,17,79,18
47,78,76,47,45
95,15,37,38,17
5,66,36,31,25
93,24,63,62,16
5,48,31,43,60
15,49,57,4,89
68,1,10,80,97
96,27,36,14,50
68,13,94,7,8
51,15,29,78,42
36,43,1,44,95
5,54,16,90,19
44,2,74,63,71
80,73,34,77,69
35,1,60,8,2
25,88,40,6,18
34,40,22,63,95
72,16,66,92,85
58,30,34,67,16
42,6,52,38,33
22,89,12,24,26
99,68,16,82,83
37,23,75,17,68
37,87,51,20,11
47,98,22,24,2
7,99,78,18,0
31,55,79,80,34
38,23,26,63,24
33,82,52,63,60
65,18,55,10,6
21,97,79,5,78
5,86,47,88,51
19,29,19,33,63
51,71,14,49,94
62,95,78,46,20
97,89,3,17,13
21,7,82,68,22
63,6,91,68,93
33,46,50,47,71
18,85,72,44,88
40,97,84,32,1
42,18,32,95,17
40,97,26,0,41
68,56,36,86,24
49,3,70,7,30
56,46,39,76,11
38,39,30,80,31
64,5,99,87,78
58,62,14,61,82
70,18,29,65,0
67,64,78,74,85
61,58,88,88,60
22,73,58,51,89
75,33,61,38,8
97,96,53,3,19
5,27,28,81,78
93,45,74,75,29
79,55,93,95,74
18,41,58,86,46
97,82,61,82,71
59,41,22,20,36
99,90,44,65,64
92,18,33,77,47
40,53,55,23,79
79,22,64,23,61
32,74,88,17,56
93,82,78,32,83
80,11,64,15,88
85,45,10,67,34
96,41,92,60,78
73,6,92,1,52
43,78,94,8,30
66,65,37,41,61
87,27,41,29,5
51,30,19,78,71
14,88,15,23,91
28,35,3,16,32
57,61,52,75,86
49,95,84,46,70
13,3,81,85,78
25,29,64,37,29
27,75,13,0,92
28,91,24,95,35
77,45,59,72,19
27,67,62,99,65
41,54,48,58,48
38,61,66,7,48
0,30,0,59,40
86,84,32,83,17
5,63,1,38,82
58,30,79,64,14
19,29,53,50,40
66,98,83,18,79
86,85,84,28,30
74,33,1,94,98
83,51,28,45,64
20,39,88,44,77
48,13,81,87,87
16,10,10,27,59
36,43,47,6,28
54,56,58,4,47
14,47,0,25,75
34,54,71,76,72
60,58,86,26,41
6,95,68,27,95
74,25,83,70,66
95,56,16,84,35
20,86,5,31,5
78,60,44,19,44
92,69,60,0,79
79,37,72,78,49
73,80,58,84,14
35,53,26,33,47
94,8,32,54,19
67,65,68,48,68
3,27,79,18,79
49,54,61,77,29
79,51,84,26,43
13,97,70,58,18
66,99,46,3,25
92,64,81,12,96
19,14,82,94,38
86,12,63,51,79
73,62,10,51,49
92,85,91,85,3
84,52,74,77,25
65,61,38,31,86
3,19,60,14,74
78,92,44,5,2
2,28,40,2,95
11,96,48,37,34
35,5,97,40,94
18,8,60,45,11
66,86,98,91,67
17,28,26,52,85
44,90,32,46,1
36,0,88,62,1
52,0,47,96,83
10,9,1,39,47
63,47,79,3,17
67,4,94,30,84
58,7,34,4,96
55,21,92,87,25
86,30,42,79,64
12,91,7,99,21
36,81,41,53,14
62,9,84,65,53
14,74,1,21,41
17,32,78,8,34
17,45,13,6,15
89,38,7,69,11
78,48,30,83,59
42,98,36,51,12
55,70,12,85,51
76,62,21,23,75
77,99,88,34,32
81,4,61,48,69
81,32,36,84,3
35,13,70,66,32
96,78,84,95,26
61,84,7,11,75
4,62,93,33,13
0,33,93,87,46
