number0,number1,number2,number3,number4,number5,number6,number7,number8,number9
11,25,26,27,35,49,67,88,90,91
10,26,31,61,69,77,91,92,93,98
3,8,13,29,41,44,48,56,69,70
10,19,50,54,55,63,65,67,84,95
8,10,15,20,23,23,27,31,44,68
19,22,36,38,40,43,46,48,76,87
17,29,31,50,60,64,74,82,90,92
9,10,22,29,32,42,54,69,78,98
0,11,17,22,29,40,41,56,61,79
22,23,45,51,55,55,61,62,69,72
1,14,20,21,31,55,56,64,95,97
2,3,26,31,32,44,52,57,66,88
20,24,34,45,49,53,60,66,87,97
7,9,21,29,31,35,48,69,89,93
2,4,44,50,51,66,70,71,77,78
0,11,27,33,38,43,47,69,75,89
10,15,18,20,27,34,55,55,60,60
1,1,20,42,44,51,63,86,87,93
22,25,44,50,65,66,68,73,73,95
3,12,38,51,65,65,84,85,93,97
17,22,38,41,73,76,88,90,97,98
8,16,19,25,46,51,54,67,75,85
19,36,36,57,58,60,70,72,90,98
5,15,21,25,38,43,50,55,69,73
26,35,37,47,53,58,73,84,87,90
1,15,17,23,37,38,39,46,66,74
6,11,12,30,40,51,69,80,84,97
17,19,36,44,49,51,54,58,67,72
24,48,55,73,75,79,80,87,94,97
16,22,23,61,66,72,73,81,81,83
7,17,22,22,27,43,48,72,73,93
13,15,31,40,41,48,55,63,73,82
25,25,32,37,53,54,60,77,79,90
10,20,21,34,36,43,48,49,77,93
0,5,17,21,26,30,32,68,72,96
23,33,51,63,71,73,78,79,88,90
5,16,21,39,42,47,56,56,72,87
2,4,9,14,22,26,50,53,56,84
7,10,20,25,26,68,76,80,85,89
13,18,22,24,27,43,44,84,86,87
10,13,17,30,33,34,37,68,89,89
8,25,55,59,63,69,78,84,98,99
23,23,29,30,32,50,55,92,93,98
35,46,46,50,51,53,70,87,93,97
9,11,12,29,43,56,57,65,93,98
6,9,19,22,31,54,72,79,80,81
1,11,12,45,49,52,53,55,58,86
3,21,22,24,38,46,54,55,65,76
24,45,51,70,77,79,91,92,93,97
17,22,28,29,30,56,57,60,68,94
23,28,29,41,47,54,76,84,93,99
0,6,7,8,19,65,65,78,82,97
0,0,0,1,9,12,24,26,38,69
27,27,43,46,51,57,64,69,80,84
9,11,24,27,28,40,52,60,65,78
2,11,15,24,30,36,44,53,59,94
44,44,53,60,73,78,79,80,85,94
6,10,28,38,46,71,72,76,82,94
5,22,30,44,51,58,73,78,85,91
6,12,18,34,40,50,57,92,94,98
4,8,20,23,31,31,32,44,91,92
13,16,29,30,38,38,64,75,80,98
25,27,31,40,68,79,85,90,92,96
5,16,48,55,57,61,68,76,78,88
9,11,17,37,58,69,71,78,88,94
2,10,19,28,32,43,63,79,87,94
12,13,18,23,27,46,57,64,72,95
4,8,25,41,60,63,70,85,85,90
0,7,21,35,41,52,62,63,88,90
17,22,35,41,43,46,57,76,81,99
1,2,6,12,17,41,42,55,64,79
4,19,22,29,33,43,50,70,89,99
24,40,53,58,67,69,70,71,77,92
26,43,50,54,54,60,65,67,75,98
1,3,8,18,21,31,42,43,65,69
4,4,12,41,53,60,77,79,87,88
4,5,30,34,34,50,70,75,84,87
10,13,20,24,33,37,41,42,70,73
0,4,27,50,64,82,85,91,92,96
35,37,39,59,60,65,65,70,75,89
7,8,15,28,33,56,56,64,92,94
23,36,42,43,52,64,76,82,93,93
11,13,25,33,54,54,62,62,66,66
1,20,28,40,58,58,71,79,90,93
9,11,23,50,57,62,67,76,78,95
3,7,36,36,49,52,52,63,63,99
13,30,35,44,47,64,82,89,92,96
5,7,11,42,45,68,72,74,75,85
3,8,29,40,71,78,81,92,96,98
1,7,20,24,43,56,69,75,85,99
21,22,47,49,51,74,78,82,84,97
7,12,13,13,15,23,48,51,80,88
3,9,19,38,62,81,89,94,95,97
4,14,23,32,38,44,48,78,94,99
7,24,25,28,31,55,80,95,95,97
5,7,12,15,16,18,28,69,73,74
8,8,16,17,48,49,53,71,90,96
4,22,28,51,51,55,56,58,67,83
12,17,33,63,84,88,93,94,95,99
0,8,19,55,63,68,71,73,76,76
28,29,32,37,42,45,50,55,67,78
11,13,26,27,28,52,52,66,82,93
1,20,54,68,68,71,76,82,86,87
13,15,24,38,42,53,63,76,96,97
28,38,42,58,63,69,70,80,85,96
13,14,18,30,34,36,59,65,83,85
1,1,17,22,29,32,35,59,77,91
3,8,11,16,31,49,52,81,91,94
0,39,44,57,63,69,71,84,90,96
22,25,38,40,41,48,52,59,62,80
0,6,8,8,26,32,65,74,91,93
4,17,21,22,23,38,44,55,66,99
7,53,53,54,72,86,87,87,89,90
35,37,47,49,52,60,63,82,85,88
19,21,23,24,31,43,43,54,71,84
1,8,15,17,22,37,62,70,84,96
3,4,8,15,29,44,46,52,64,66
1,4,10,19,44,46,64,67,94,94
0,0,7,32,47,47,49,52,56,85
12,13,46,51,56,61,62,83,83,96
12,25,29,34,37,45,48,72,77,86
10,35,45,53,65,72,81,94,96,99
6,8,15,19,32,62,63,65,66,74
7,12,19,21,30,35,38,58,71,97
6,13,14,15,41,59,60,76,88,94
8,21,28,33,37,40,44,78,90,92
18,39,44,53,60,67,73,81,85,97
3,3,33,46,50,54,58,59,81,96
2,5,23,27,33,44,50,67,72,74
4,20,26,26,31,35,35,43,58,91
8,10,13,23,27,45,50,50,55,81
16,31,38,54,54,59,78,80,81,84
19,23,32,54,59,66,66,68,69,98
7,10,17,24,31,38,41,75,79,93
5,13,35,37,47,53,53,68,78,88
7,20,41,43,50,55,57,58,77,89
2,23,40,43,44,47,58,58,85,98
10,17,23,35,55,68,80,82,86,90
2,5,10,39,55,63,70,80,95,98
15,46,58,62,64,65,68,88,90,95
4,6,37,45,49,67,84,90,90,93
5,11,13,23,28,57,63,74,88,99
4,36,45,45,49,84,84,86,91,91
2,7,25,30,45,53,55,58,59,73
2,30,40,56,61,63,80,81,82,92
19,33,41,53,55,62,72,74,78,94
20,20,26,38,43,61,63,70,74,90
5,19,35,47,51,55,59,61,73,84
5,19,24,29,50,61,80,86,96,98
6,12,19,42,63,66,76,93,96,98
17,51,54,59,62,64,71,74,82,89
11,13,16,17,21,22,23,38,77,84
11,49,56,71,72,82,88,90,92,94
16,25,27,34,42,45,61,62,75,93
0,18,20,38,50,63,69,70,74,90
11,29,35,37,43,54,60,64,85,98
2,6,7,9,28,41,46,69,81,95
13,30,35,44,51,55,63,65,82,93
1,12,15,22,27,46,46,65,71,79
5,11,31,32,33,79,80,83,87,93
6,9,18,31,34,59,62,66,73,84
0,4,20,32,37,46,61,65,84,90
9,39,41,57,62,67,83,87,96,98
10,36,52,53,54,73,79,89,91,94
9,11,32,39,71,72,74,75,85,96
0,3,14,34,79,81,88,90,95,96
13,16,35,42,45,61,67,68,85,92
1,14,15,30,44,46,56,69,82,87
7,14,52,53,54,58,65,79,82,92
27,40,43,52,59,61,63,71,75,96
7,9,20,28,67,69,81,81,89,91
8,25,27,39,52,58,59,64,81,89
9,24,33,39,50,62,63,70,72,88
0,32,34,41,45,51,52,72,76,83
2,6,7,33,38,42,65,84,86,95
33,39,39,44,48,63,73,80,82,83
0,2,3,15,16,17,20,32,71,95
3,19,28,56,59,78,85,98,99,99
9,9,10,14,28,33,39,48,88,94
11,13,17,44,46,66,72,81,84,95
17,30,31,38,47,53,62,71,85,99
21,23,31,32,65,70,80,85,85,88
17,20,78,78,81,82,87,90,91,93
2,8,19,20,31,41,60,65,95,96
1,8,10,14,23,26,36,46,78,81
37,67,71,73,77,81,87,88,96,98
0,5,38,57,59,67,70,75,88,95
1,4,9,25,26,35,41,52,58,75
1,21,32,36,45,51,52,52,67,85
2,21,26,31,47,49,62,66,67,98
2,3,4,13,31,33,36,38,85,93
1,1,13,18,36,50,57,62,63,73
27,29,38,39,54,60,65,68,85,90
18,23,24,25,40,42,59,80,91,98
8,11,20,22,25,44,56,67,74,93
1,37,42,53,55,56,56,70,70,79
2,18,21,25,31,33,50,63,72,90
6,8,24,27,47,54,59,71,77,88
1,20,21,25,38,58,59,60,70,73
13,28,33,35,38,56,73,84,93,97
15,58,60,60,68,74,88,89,89,91
1,4,5,15,21,34,67,80,86,91
2,4,7,16,17,17,47,47,51,80
12,18,21,23,24,32,56,83,87,98
4,8,16,16,16,26,59,65,72,90
16,18,19,27,28,32,37,54,65,65
11,22,22,22,22,34,45,51,67,75
0,8,9,15,19,46,48,76,81,96
32,51,62,64,73,74,74,83,86,89
18,19,32,32,36,48,49,52,70,76
6,46,49,56,57,69,77,80,94,95
18,29,36,40,47,50,73,82,88,92
10,13,21,22,24,44,45,56,59,90
1,27,45,64,64,78,83,93,96,97
22,45,48,49,49,56,71,82,91,97
7,10,18,51,57,57,61,64,66,96
31,34,38,54,59,70,76,79,80,95
0,2,4,8,21,43,49,50,70,89
8,9,15,41,50,56,71,79,84,89
16,24,46,50,56,61,68,84,88,96
19,33,33,41,51,58,61,62,77,93
5,8,16,28,49,55,61,67,77,84
2,32,45,59,80,83,85,90,91,95
1,11,16,21,27,33,40,56,67,73
3,15,19,23,30,39,70,77,84,89
5,37,41,46,54,68,74,79,82,90
7,26,30,35,40,48,48,54,69,79
13,14,19,35,35,43,44,58,63,74
4,15,23,35,53,55,59,79,90,95
16,25,27,34,42,67,74,76,81,86
14,30,35,44,46,52,53,89,92,97
10,12,13,19,20,47,55,77,83,87
25,32,33,35,41,49,55,65,67,82
3,4,4,25,35,74,78,80,96,97
1,6,11,17,29,41,45,49,68,97
7,21,42,44,67,71,72,77,83,91
14,18,25,30,34,40,54,73,78,85
9,15,19,21,22,59,60,74,90,94
11,21,32,54,66,90,90,93,94,96
2,4,16,45,54,58,60,90,94,95
3,5,29,56,71,72,74,88,92,98
5,14,24,27,29,34,39,45,46,89
17,33,37,45,49,49,63,70,72,76
18,47,59,62,66,69,77,87,89,95
15,26,26,37,45,51,62,75,77,92
8,9,11,16,23,27,40,40,93,98
0,15,19,20,21,24,75,87,89,97
29,35,37,46,51,70,77,80,81,97
2,23,25,53,54,57,65,68,75,81
1,26,34,35,41,41,48,80,89,99
17,27,38,47,54,57,60,64,86,89
4,11,19,54,57,64,71,75,75,95
6,6,19,21,33,38,59,83,91,98
0,13,16,21,22,28,32,81,82,83
3,7,13,28,30,33,54,64,67,77
3,23,39,56,58,71,83,92,93,99
0,4,6,32,49,62,69,69,79,82
21,30,40,46,48,71,85,92,94,98
0,3,12,14,19,36,40,61,89,97
18,22,65,70,70,72,73,80,82,98
1,6,8,29,32,44,72,76,80,88
2,9,23,29,35,54,80,87,93,97
1,16,28,40,50,61,75,82,84,96
3,4,6,14,26,45,64,65,74,81
11,25,30,33,37,54,62,78,80,99
11,33,41,53,73,75,82,88,96,98
4,9,34,36,40,44,70,82,84,85
7,8,29,40,46,74,77,86,91,94
4,12,23,38,39,56,57,69,70,99
3,5,18,24,40,40,49,54,55,76
17,20,21,25,26,39,58,83,96,99
0,4,9,31,37,49,59,60,75,83
7,24,26,28,28,55,58,66,75,92
11,16,20,48,65,71,74,77,84,98
6,12,38,44,46,54,54,63,89,98
15,30,31,35,37,61,74,74,76,78
5,7,13,30,34,47,54,72,82,99
5,10,11,30,34,35,40,73,77,97
2,6,17,33,37,51,60,72,82,82
4,24,33,37,64,65,66,66,81,82
22,26,26,38,42,45,60,78,88,89
0,6,13,32,35,40,48,66,91,92
9,16,21,21,33,39,90,92,96,97
15,18,20,30,31,41,43,52,65,73
2,5,8,9,14,25,25,30,66,76
5,15,18,34,47,66,70,76,96,98
4,16,19,31,40,41,41,53,65,72
5,13,26,33,35,44,65,72,79,90
6,10,14,26,29,37,41,44,57,96
6,14,22,24,50,55,69,77,92,95
0,4,4,6,17,18,22,46,53,90
29,30,32,40,45,45,58,59,65,74
7,17,22,38,38,38,69,75,86,95
40,40,41,49,53,58,86,88,89,94
1,2,5,7,10,10,26,56,80,81
9,16,23,27,39,48,85,86,86,92
6,20,28,33,47,52,56,63,81,98
4,10,27,28,40,57,59,86,92,94
8,20,29,45,51,69,80,85,90,91
3,4,7,10,23,39,57,71,72,73
3,5,15,17,24,45,47,53,74,99
16,35,37,65,77,81,81,83,89,93
11,17,20,37,66,75,76,77,95,97
1,24,30,32,38,51,52,71,72,88
11,17,19,28,38,40,42,42,86,87
8,32,42,45,56,66,77,89,91,94
21,21,32,34,50,54,66,70,78,98
10,22,27,39,51,52,54,67,95,98
3,3,9,12,38,45,50,51,61,86
11,28,35,35,37,42,53,57,87,96
4,7,15,16,41,46,69,73,77,84
1,3,5,7,8,32,86,88,91,98
12,16,51,64,70,73,81,84,93,97
4,4,6,24,33,55,62,69,69,83
16,20,34,46,54,58,59,62,65,84
8,10,14,21,40,56,57,77,77,99
2,20,38,42,42,42,42,54,85,90
21,46,54,56,59,60,63,67,95,96
28,30,31,33,52,57,63,79,84,89
1,20,29,38,54,58,70,77,90,90
9,12,13,23,31,33,40,47,72,97
4,5,8,22,44,45,50,52,57,99
24,28,31,36,39,75,82,84,86,93
5,7,17,36,41,56,59,67,81,99
0,3,4,15,57,62,78,81,82,99
1,3,3,3,33,38,39,67,85,87
4,17,24,26,29,44,49,82,90,98
1,18,21,25,28,42,54,71,74,93
0,14,25,31,62,65,75,87,97,98
3,6,7,18,22,47,47,53,62,71
7,11,15,24,24,48,59,76,87,99
2,5,17,20,28,28,54,55,77,81
2,15,16,28,29,44,48,62,76,95
6,7,21,42,50,69,89,91,93,93
8,40,45,47,47,71,72,80,84,89
24,35,36,41,43,45,61,64,68,78
7,8,36,38,48,57,66,76,79,99
8,9,21,33,49,54,66,71,76,89
12,18,19,25,47,49,55,71,83,86
19,27,38,43,56,64,78,80,83,85
1,8,15,42,45,57,57,58,83,90
24,37,37,39,66,70,74,81,90,99
0,5,8,19,46,50,51,88,89,98
4,15,24,43,47,62,63,71,86,89
7,13,18,22,34,39,61,64,67,93
7,14,15,21,46,63,71,77,90,97
4,4,12,23,42,65,75,75,87,99
9,31,36,42,52,75,79,82,86,92
2,5,7,13,47,57,57,66,66,98
1,2,7,37,46,49,63,86,89,93
27,34,37,46,53,55,64,79,95,96
4,10,39,47,47,49,61,61,89,96
22,49,55,65,66,75,84,89,89,96
27,28,32,39,46,84,88,93,94,98
1,2,6,16,30,57,63,69,86,96
9,9,12,23,24,40,49,68,87,98
14,29,35,57,76,77,79,80,97,97
11,15,35,43,58,77,80,80,90,91
11,11,13,31,47,48,60,80,84,96
1,2,7,25,28,36,40,71,80,95
6,9,35,42,58,67,71,76,89,97
13,28,39,39,42,58,69,71,80,82
7,25,28,30,42,45,53,54,73,87
3,9,25,26,26,42,69,72,85,98
5,15,15,22,30,36,49,59,65,80
7,19,33,41,52,67,76,83,97,99
12,15,30,48,54,58,63,64,75,78
28,29,46,57,66,69,73,81,87,90
4,19,23,25,29,39,43,58,66,86
11,17,25,28,45,70,74,93,94,95
10,16,30,34,40,51,72,78,88,95
7,16,36,41,60,61,70,86,89,90
3,5,33,36,45,51,52,74,75,96
9,17,28,46,58,60,67,67,74,98
5,9,14,19,39,41,45,68,83,91
4,20,22,37,57,61,66,72,89,90
10,16,17,24,38,38,55,57,75,79
8,12,16,28,40,42,66,86,90,90
15,24,26,28,34,51,64,70,74,98
0,2,4,12,19,27,31,44,45,95
0,2,22,45,47,82,83,91,97,98
7,21,22,41,56,56,64,64,81,89
0,4,13,23,26,39,42,44,44,95
0,7,19,19,45,58,58,69,81,99
8,15,34,37,38,39,55,82,84,94
29,40,46,46,59,62,77,81,88,89
16,26,27,28,45,52,57,76,79,82
24,34,44,52,69,71,72,89,90,98
11,31,34,41,44,52,61,75,84,99
19,33,33,37,47,47,52,53,56,92
5,7,18,21,32,64,79,80,89,94
6,29,30,37,38,49,72,73,76,88
1,11,15,15,48,51,54,56,75,84
11,18,21,24,41,58,63,63,70,93
2,8,17,17,18,20,25,76,88,90
5,18,29,32,52,56,58,72,77,81
22,49,49,52,53,76,83,84,96,98
5,9,14,18,20,22,64,85,92,98
14,28,39,55,62,68,77,79,81,90
9,14,27,39,45,49,53,63,63,83
8,10,12,13,14,30,41,42,90,98
0,13,23,29,35,63,65,72,79,88
13,17,26,28,30,31,36,36,40,66
0,6,11,20,26,54,62,69,79,93
9,21,24,26,26,32,68,83,90,90
1,7,8,11,19,34,60,64,65,97
6,34,37,39,47,52,56,71,86,88
6,7,12,19,29,32,44,86,87,88
5,6,18,33,43,44,45,74,78,91
13,29,57,63,73,87,88,89,89,92
6,9,20,52,60,67,73,87,88,98
5,13,22,23,24,51,54,72,79,94
13,13,22,30,39,39,46,58,83,96
12,22,29,33,42,45,47,81,90,92
0,9,11,13,20,57,82,83,86,96
15,20,21,27,32,42,60,63,66,84
3,32,33,41,51,67,74,75,85,87
21,22,26,28,46,52,73,77,95,96
0,1,4,6,7,23,41,60,77,84
1,18,33,57,59,73,73,90,96,99
4,26,30,31,43,64,69,91,97,97
8,16,17,19,30,39,50,70,79,92
15,21,26,29,34,49,50,64,69,98
3,6,7,9,31,51,64,68,82,83
4,7,13,21,34,42,47,68,78,89
9,26,47,61,82,82,85,85,93,94
5,17,53,55,62,63,68,74,83,97
7,26,39,57,61,61,70,79,84,88
0,24,26,32,36,40,45,59,84,99
12,21,31,36,46,77,79,83,99,99
12,30,33,37,47,59,78,78,79,93
15,40,63,76,78,81,84,89,90,94
17,20,21,30,35,39,63,65,66,75
12,21,23,33,35,38,40,68,69,89
17,34,45,54,71,73,89,91,96,99
1,4,16,25,30,36,38,48,51,61
5,23,28,40,44,58,61,85,86,93
0,13,31,49,61,74,86,92,94,97
14,23,28,30,35,73,81,86,92,95
14,24,26,39,61,65,71,71,85,92
1,4,5,9,35,39,69,78,86,92
7,13,14,37,49,72,73,77,81,91
7,9,20,30,34,44,47,84,86,89
24,25,30,43,44,63,76,77,81,94
0,0,7,39,43,63,77,83,87,97
0,6,11,23,24,69,73,74,78,94
1,24,35,40,61,65,69,70,79,99
8,26,37,40,47,54,58,68,87,99
1,30,39,43,48,53,69,70,71,72
2,13,13,16,30,39,44,55,64,71
9,12,21,31,32,40,67,70,75,75
14,42,49,50,56,66,66,78,82,84
0,24,34,40,48,54,66,66,85,88
11,12,14,26,36,36,64,65,66,73
30,33,34,47,51,57,68,71,77,83
7,20,25,39,53,57,62,62,83,93
5,25,45,46,48,51,60,67,95,98
4,9,12,15,22,31,35,38,95,96
12,23,29,53,57,61,86,91,97,99
9,10,28,33,34,51,64,65,79,83
18,21,23,30,35,56,58,78,91,93
19,22,33,39,44,54,78,83,93,99
2,41,50,59,66,67,71,73,85,99
4,14,16,27,42,45,46,79,84,96
27,28,28,49,69,73,77,80,83,98
0,6,48,51,54,70,83,94,97,98
22,29,37,44,47,64,72,81,83,99
21,24,30,62,64,65,73,92,95,99
7,15,23,26,29,42,48,66,83,91
11,29,34,60,61,69,70,78,89,93
1,3,8,12,18,19,71,86,90,93
22,28,32,35,38,43,57,57,65,71
1,23,32,52,65,66,71,79,82,89
24,30,47,73,77,84,85,93,94,96
14,20,22,32,42,60,78,79,81,82
15,20,52,72,76,80,81,85,90,90
1,1,2,44,55,57,58,65,80,94
14,30,52,56,57,62,77,85,92,93
3,10,16,17,18,33,60,84,93,93
22,23,31,40,41,42,53,58,86,95
2,3,16,17,29,32,46,47,55,62
0,10,12,38,45,49,61,78,92,96
3,13,22,53,54,75,76,89,90,94
1,9,41,64,67,74,78,82,83,93
12,22,36,39,48,54,72,79,84,99
12,23,25,46,50,61,70,76,79,87
34,47,55,58,63,64,77,80,89,96
2,17,27,39,56,60,79,81,82,88
12,16,29,30,43,44,55,63,72,91
6,21,28,30,32,47,48,53,63,81
10,16,19,50,59,63,70,79,91,97
16,17,28,41,43,67,77,79,94,94
2,11,22,35,48,52,69,82,92,99
23,27,28,29,38,51,70,77,89,94
9,25,30,34,37,50,73,83,86,93
8,22,23,32,63,70,82,89,92,98
11,16,18,32,46,47,74,76,84,93
6,17,18,23,25,73,77,79,83,97
2,4,38,41,48,63,77,78,80,96
4,9,24,44,48,55,66,69,89,96
9,11,17,19,23,49,57,60,67,86
5,11,22,27,47,67,70,72,89,99
4,19,27,33,35,56,61,61,62,78
1,25,36,46,60,61,68,80,81,98
6,9,10,16,19,28,60,70,76,85
22,24,51,74,79,84,85,86,95,99
14,42,51,55,68,70,73,73,84,99
0,17,23,27,36,54,59,68,82,89
9,27,28,34,35,66,74,76,77,85
3,28,43,48,55,59,72,78,88,94
3,4,5,21,28,30,33,35,85,96
2,27,27,33,55,60,61,67,73,97
32,45,57,59,61,66,73,80,81,90
21,28,31,39,40,52,53,74,82,84
9,9,22,42,43,47,52,77,84,94
12,16,19,23,30,38,55,60,70,72
5,14,26,28,54,73,91,91,94,97
0,1,1,3,23,24,25,38,70,94
0,31,33,41,48,54,58,87,89,96
1,27,40,58,62,63,64,64,64,86
29,33,35,51,71,72,84,85,85,89
12,18,23,40,47,55,85,88,92,97
7,17,19,26,26,36,57,59,68,97
25,38,41,50,53,53,81,83,88,95
4,8,29,33,42,52,57,59,79,80
5,8,15,31,34,46,62,82,89,99
18,18,24,25,61,65,71,83,86,97
7,18,27,29,41,43,46,52,83,97
3,11,13,30,40,54,69,76,88,89
5,16,38,41,45,49,50,51,61,77
20,21,33,55,66,75,78,86,89,91
5,14,23,23,23,27,42,43,45,89
3,8,10,29,34,35,55,67,82,96
6,7,23,48,60,61,62,71,77,77
1,2,10,13,33,34,53,65,73,79
33,58,60,63,68,72,76,78,87,89
1,33,36,59,65,68,70,75,83,97
4,4,20,33,44,49,60,61,72,75
15,20,21,22,43,79,86,92,92,94
9,23,30,45,52,53,54,72,74,76
8,20,22,26,27,28,33,71,94,95
2,13,28,35,56,63,67,86,88,93
11,16,18,25,29,41,67,70,95,99
3,11,19,27,34,39,64,68,71,83
10,17,25,33,39,58,68,77,77,78
7,14,38,60,66,69,70,79,92,97
4,23,43,47,56,56,58,72,78,82
18,18,28,35,35,37,54,56,63,88
2,31,32,48,55,62,68,69,78,88
16,34,51,51,52,67,90,94,94,96
11,22,32,37,44,45,59,63,74,86
15,19,25,41,48,53,59,69,85,88
4,6,10,24,29,30,36,39,45,69
4,8,11,17,36,64,66,68,72,74
15,40,51,64,67,70,74,80,82,96
15,24,26,33,51,52,58,78,87,99
2,4,21,39,44,45,77,78,85,88
2,12,32,35,35,56,81,89,95,97
1,11,14,25,27,50,62,72,83,94
2,14,34,39,41,54,64,69,73,79
7,20,26,34,38,41,44,69,88,92
2,20,38,39,64,70,81,84,89,96
0,7,35,38,51,58,67,73,75,92
5,11,13,20,31,50,53,57,83,97
3,7,12,14,37,50,57,66,77,89
3,9,15,16,17,55,60,64,69,72
8,20,30,39,54,59,61,72,73,83
9,20,25,36,45,52,66,73,75,95
13,14,18,31,39,51,64,69,75,87
4,6,31,35,36,42,45,61,76,85
22,43,55,61,63,68,68,69,74,78
4,10,26,33,42,45,66,86,89,89
13,16,29,33,39,40,44,58,78,93
24,33,40,41,50,54,65,76,86,91
1,11,19,39,44,53,54,55,80,84
1,4,5,10,18,19,48,57,61,63
8,9,15,18,28,46,48,64,75,75
13,21,21,23,39,56,62,73,82,87
16,22,24,40,41,64,71,71,81,86
1,13,14,19,22,26,32,33,55,71
25,39,39,46,53,60,67,70,77,94
2,26,42,50,52,61,64,72,75,98
0,13,25,30,31,45,58,70,92,97
5,10,14,17,31,44,46,66,70,90
12,29,37,46,51,66,81,88,92,94
10,13,28,51,65,66,81,81,87,91
3,12,12,15,26,36,40,88,99,99
0,21,48,51,53,70,81,91,92,98
5,21,46,50,52,88,91,93,96,98
3,9,11,12,18,35,53,62,73,83
4,6,22,24,25,26,29,41,52,95
2,6,7,19,27,56,64,70,78,82
0,3,22,24,37,43,60,66,76,79
0,2,8,8,11,32,52,90,94,98
18,27,27,46,47,52,61,64,65,90
0,13,16,25,33,40,41,46,56,72
0,5,24,41,50,67,74,76,77,83
0,4,5,16,17,36,39,40,64,71
0,5,9,31,37,58,58,61,82,89
1,6,6,11,16,50,53,60,81,85
16,18,57,58,72,81,83,84,92,99
22,39,42,44,53,66,66,76,80,84
3,8,19,22,22,23,72,85,91,93
11,19,28,33,50,64,65,75,84,98
14,14,14,35,38,39,57,65,78,95
6,6,15,17,18,18,29,31,66,97
14,14,18,21,45,49,65,78,86,87
12,19,26,39,41,45,68,68,70,99
1,11,16,19,37,48,51,51,52,76
