number0,number1,number2,number3,number4,number5,number6,number7,number8,number9
35,82,7,55,53,35,31,45,12,94
27,53,31,40,81,60,3,49,59,30
28,17,73,62,94,16,12,78,1,58
64,71,27,97,38,20,87,25,15,36
23,33,48,3,85,67,20,29,12,32
39,90,20,62,45,26,56,10,49,55
18,97,83,3,27,43,91,8,71,42
52,73,10,30,2,19,32,61,75,60
21,92,72,89,6,19,87,16,42,35
40,3,13,70,28,49,87,83,78,86
55,62,9,48,54,21,88,64,64,7
32,39,79,38,35,71,90,20,23,54
34,6,96,9,86,36,96,64,93,8
75,83,83,83,27,58,0,21,31,19
53,87,33,48,53,12,2,44,47,45
40,76,32,65,50,89,91,68,33,16
30,57,10,9,62,25,65,97,73,20
66,37,18,79,12,95,52,54,92,71
37,89,94,34,7,80,30,68,71,20
32,0,3,76,57,53,71,13,88,79
41,51,2,76,89,3,32,72,49,71
39,75,86,66,60,70,96,94,30,15
42,72,87,34,6,56,39,6,14,88
1,31,63,64,70,94,44,93,22,37
20,22,38,34,78,2,5,17,65,8
49,27,91,26,11,88,25,35,90,67
31,26,93,92,77,91,98,69,61,10
8,44,70,29,69,48,41,56,13,3
65,10,50,19,84,95,67,55,63,54
68,23,10,31,23,44,8,20,15,27
87,22,36,76,46,48,38,19,43,40
82,64,74,90,29,50,17,60,31,92
78,10,9,98,29,42,69,32,54,22
79,11,17,40,41,61,29,0,56,22
69,62,23,51,45,72,55,61,22,55
97,55,56,14,21,20,1,95,64,31
66,44,31,3,88,26,2,32,52,57
97,45,60,66,53,24,87,20,34,49
89,48,21,93,7,31,9,69,35,29
44,77,51,50,70,4,78,2,66,71
0,11,43,47,38,33,27,75,89,69
18,27,10,34,15,60,60,20,55,55
1,93,42,44,51,86,1,20,87,63
95,25,66,73,44,73,22,65,50,68
38,97,65,93,3,51,65,12,85,84
41,38,73,97,98,90,88,76,22,17
54,85,67,51,19,16,46,25,75,8
90,19,58,60,72,36,36,70,57,98
73,21,43,38,55,69,5,25,15,50
35,53,87,73,37,90,47,26,58,84
38,17,37,74,66,1,46,15,23,39
97,51,69,6,30,11,80,12,84,40
67,58,49,51,72,19,44,36,17,54
79,24,73,87,48,94,75,97,55,80
83,73,81,81,16,61,22,23,66,72
73,17,43,72,93,22,27,7,48,22
73,63,55,15,41,13,31,48,82,40
25,79,53,77,90,37,25,54,60,32
77,43,49,48,36,34,10,20,21,93
32,5,0,72,96,26,68,21,17,30
90,51,73,71,79,63,23,78,88,33
47,42,56,72,39,16,5,56,21,87
9,4,50,56,2,26,53,14,22,84
7,80,25,68,10,76,85,26,20,89
43,22,24,13,44,27,84,18,86,87
33,13,89,68,17,30,37,89,10,34
98,84,99,78,25,8,59,69,55,63
29,50,32,55,93,30,23,92,98,23
35,46,97,46,51,50,87,93,70,53
57,65,98,12,9,11,93,29,56,43
54,19,6,31,22,9,79,72,80,81
12,52,1,49,86,53,11,45,58,55
21,76,65,38,24,46,22,55,3,54
51,92,91,24,77,45,93,79,97,70
60,17,56,94,22,57,29,68,28,30
76,99,47,93,28,41,84,23,29,54
82,65,6,97,19,8,78,7,65,0
24,26,0,12,0,1,69,38,0,9
46,27,27,51,80,84,64,43,69,57
78,11,40,60,65,52,9,27,24,28
36,2,11,59,53,24,30,44,94,15
60,53,85,73,44,44,79,80,94,78
82,6,72,76,38,94,71,46,10,28
78,58,5,51,91,30,73,85,44,22
40,94,34,57,50,92,6,98,18,12
23,8,20,44,32,31,31,91,92,4
80,13,29,64,16,38,98,75,30,38
92,90,68,79,27,40,25,85,31,96
68,16,88,57,5,55,61,48,76,78
9,17,71,69,58,37,78,94,11,88
10,63,32,79,28,94,19,87,2,43
18,46,13,23,57,27,95,64,72,12
8,63,4,70,85,90,85,41,25,60
35,7,21,88,41,62,52,0,63,90
41,35,46,99,17,81,57,43,22,76
55,42,64,2,12,17,79,6,1,41
70,19,33,99,89,43,50,29,22,4
58,70,69,92,77,24,53,71,40,67
67,75,54,98,50,43,65,54,60,26
21,1,43,65,18,42,3,69,8,31
60,53,77,79,87,4,41,4,88,12
5,34,84,87,4,30,50,34,75,70
10,20,37,70,41,24,33,73,42,13
50,4,96,0,27,85,64,82,92,91
60,35,75,65,39,59,65,70,37,89
33,15,94,56,7,28,64,56,8,92
23,43,52,93,42,64,82,36,76,93
66,54,13,25,62,66,62,54,33,11
79,1,58,71,90,58,28,40,20,93
95,9,23,62,67,11,78,76,57,50
7,63,99,49,3,36,52,36,52,63
64,47,44,35,13,82,89,96,30,92
68,85,72,42,74,5,45,75,7,11
98,71,81,29,96,92,8,78,40,3
24,7,99,1,85,69,20,75,43,56
22,97,49,51,74,84,21,78,82,47
15,80,88,7,51,12,13,13,23,48
94,9,19,3,38,81,97,62,95,89
32,4,99,14,48,44,38,94,78,23
97,31,24,80,7,55,25,28,95,95
74,12,15,5,28,73,7,18,16,69
71,8,53,8,17,49,96,90,48,16
56,28,83,58,51,55,51,22,67,4
93,99,17,33,94,63,88,12,95,84
76,8,0,19,63,73,76,55,68,71
28,37,29,45,67,55,50,78,42,32
27,11,13,52,28,26,52,66,82,93
86,71,68,54,76,68,20,1,87,82
63,42,53,38,96,13,76,15,24,97
28,85,38,58,80,96,70,63,69,42
85,36,59,30,14,83,65,18,13,34
1,1,91,17,32,77,59,22,35,29
49,52,11,81,3,94,16,31,8,91
39,57,63,69,84,96,44,0,90,71
38,25,48,62,59,41,80,22,40,52
26,91,8,65,6,0,74,32,8,93
21,44,55,38,99,66,17,22,4,23
90,89,72,53,53,87,54,87,7,86
63,88,47,60,35,49,82,85,37,52
71,23,31,24,43,21,19,43,54,84
15,84,96,70,17,8,62,1,22,37
15,66,64,4,44,46,52,3,8,29
44,67,94,10,64,19,4,46,1,94
0,7,47,52,0,56,47,49,85,32
83,96,62,83,12,51,61,13,46,56
72,77,45,12,37,86,34,29,25,48
10,96,45,99,53,72,81,65,35,94
66,8,15,62,63,6,74,19,65,32
71,58,35,30,12,97,21,38,7,19
15,13,88,6,60,94,41,76,14,59
78,33,28,92,40,37,21,90,44,8
39,97,67,85,73,60,81,53,44,18
59,50,96,33,54,46,3,58,81,3
27,74,44,72,23,50,2,33,5,67
20,35,26,31,35,43,58,26,4,91
81,27,13,10,23,55,45,8,50,50
31,78,81,16,84,59,54,54,80,38
23,66,59,66,69,54,19,32,68,98
38,75,10,31,93,79,41,7,24,17
88,37,35,47,68,78,13,5,53,53
55,41,20,7,57,89,43,58,77,50
58,2,43,85,98,23,58,44,40,47
86,17,35,10,90,55,82,80,23,68
80,5,2,55,39,95,70,98,10,63
64,46,58,90,62,68,88,95,65,15
67,93,90,90,45,49,6,4,37,84
57,11,88,63,28,74,99,13,5,23
86,49,84,91,84,45,45,36,4,91
2,73,7,30,58,59,45,25,55,53
2,56,30,63,81,92,40,61,80,82
94,62,72,33,41,78,74,55,19,53
63,38,20,90,61,74,20,26,70,43
61,59,51,5,84,35,55,47,73,19
29,98,80,19,50,96,61,24,5,86
63,76,93,12,6,66,96,42,19,98
17,71,64,54,89,62,82,51,74,59
11,84,21,23,38,17,16,77,22,13
92,71,56,88,82,90,49,11,72,94
42,27,93,75,25,16,62,61,45,34
70,38,63,0,20,90,50,69,18,74
29,60,54,98,35,64,11,37,85,43
41,9,6,95,2,7,28,81,69,46
93,35,44,13,63,51,82,30,55,65
65,15,27,22,1,46,46,71,79,12
5,83,32,87,31,33,11,80,93,79
9,59,34,62,84,18,31,73,6,66
37,46,61,84,20,32,4,65,0,90
98,96,87,57,67,62,41,39,83,9
89,10,53,79,91,94,36,73,52,54
71,72,9,39,32,11,85,96,74,75
96,95,14,3,90,0,88,34,81,79
35,13,68,85,42,61,92,16,45,67
82,15,46,1,56,87,44,69,30,14
79,92,14,52,7,82,53,54,58,65
59,63,96,75,71,27,61,43,52,40
7,9,20,67,89,91,28,69,81,81
25,52,64,27,39,8,89,58,59,81
9,50,70,63,24,39,62,72,33,88
83,0,72,32,45,76,34,41,51,52
38,7,86,84,42,95,2,65,33,6
82,83,39,44,48,33,63,39,80,73
20,32,3,2,95,71,17,0,16,15
78,28,19,59,99,99,3,56,98,85
14,39,33,10,9,88,48,28,94,9
11,84,17,81,13,95,72,66,46,44
31,17,38,53,71,85,62,99,30,47
85,80,32,31,70,85,65,23,88,21
91,78,81,20,87,17,78,90,82,93
31,2,95,20,96,19,65,41,60,8
81,23,26,10,14,78,1,36,8,46
77,88,98,71,81,37,96,87,67,73
0,70,75,67,95,5,59,57,38,88
1,75,41,4,25,26,52,58,9,35
45,32,1,85,21,36,52,52,51,67
47,66,67,62,26,21,98,2,49,31
38,33,13,36,4,3,2,31,93,85
50,18,63,1,57,36,62,1,73,13
85,90,60,68,65,38,27,29,54,39
42,23,40,25,18,98,59,80,24,91
11,56,8,25,67,93,20,74,44,22
55,1,37,70,53,42,56,70,56,79
21,90,63,2,50,31,33,72,25,18
88,8,59,24,6,71,77,47,54,27
60,21,59,38,70,1,20,25,58,73
93,28,56,13,84,38,35,97,33,73
58,89,60,74,68,15,89,88,91,60
15,5,34,86,4,91,1,21,80,67
16,47,17,80,7,4,2,47,51,17
32,83,87,24,23,21,12,18,98,56
65,90,16,26,8,16,59,4,16,72
65,54,27,16,37,32,19,28,65,18
67,34,22,51,75,45,22,11,22,22
15,9,0,19,96,46,48,81,76,8
64,86,62,89,83,51,32,74,74,73
76,19,48,18,32,70,36,32,52,49
69,95,94,77,56,46,49,57,80,6
29,36,88,92,18,73,82,47,50,40
21,90,10,44,22,45,56,59,13,24
64,45,93,27,64,97,1,83,78,96
22,97,49,48,56,45,82,71,49,91
7,96,51,61,10,64,18,66,57,57
95,70,31,59,76,54,79,34,38,80
70,50,2,0,89,8,4,21,43,49
89,71,79,9,84,8,15,50,56,41
84,61,50,96,16,88,24,68,46,56
93,61,62,33,77,19,51,33,41,58
49,8,67,5,77,16,28,55,61,84
90,91,83,59,85,45,80,95,32,2
56,40,21,16,27,73,11,33,1,67
70,19,77,89,84,15,23,3,30,39
46,54,41,68,37,5,79,74,82,90
54,69,48,40,26,30,48,79,35,7
35,74,58,44,19,43,35,13,14,63
15,55,35,59,53,90,4,95,79,23
86,16,81,25,74,42,27,76,67,34
46,14,35,97,53,89,30,44,52,92
19,12,55,77,13,87,20,83,10,47
82,32,41,67,25,55,35,49,65,33
97,35,78,96,4,80,74,4,3,25
11,1,97,6,49,45,29,17,68,41
71,72,44,21,67,83,7,91,77,42
30,18,34,14,25,40,78,54,73,85
22,90,59,74,9,94,60,19,21,15
90,94,93,90,66,96,11,21,54,32
54,94,95,16,4,90,60,45,2,58
3,74,56,5,98,71,72,29,92,88
89,24,5,46,29,39,45,14,27,34
70,17,49,76,45,49,63,33,72,37
89,18,77,95,62,47,59,66,69,87
26,92,15,51,26,75,62,37,77,45
8,98,11,9,40,93,16,23,40,27
97,20,87,75,89,21,24,0,15,19
80,37,51,29,35,97,77,70,81,46
57,81,75,53,25,54,65,23,68,2
89,26,48,41,80,34,41,35,99,1
17,27,54,47,89,64,57,60,86,38
95,19,75,11,54,4,75,64,71,57
59,19,83,6,98,33,38,6,91,21
28,82,0,22,16,13,81,83,21,32
7,64,54,3,13,77,67,33,30,28
71,56,58,83,93,3,99,23,92,39
4,6,69,49,69,32,62,82,79,0
40,21,46,71,92,94,48,98,30,85
97,14,61,19,89,40,3,36,0,12
18,98,82,73,80,65,22,72,70,70
1,72,88,32,76,6,8,80,44,29
80,23,87,97,93,2,9,29,54,35
28,61,84,16,96,50,82,40,1,75
6,45,65,14,26,3,74,81,4,64
62,78,30,33,25,80,99,37,11,54
73,82,11,96,75,98,41,88,33,53
82,84,34,36,44,40,85,9,4,70
8,74,46,86,29,40,7,77,91,94
69,23,38,39,56,99,57,4,12,70
76,49,54,5,55,40,18,24,3,40
83,96,39,58,26,99,20,21,17,25
83,4,9,49,59,75,0,31,37,60
7,66,58,55,24,26,75,28,28,92
11,48,65,74,16,77,71,98,84,20
38,89,6,98,12,63,54,44,54,46
61,37,76,74,78,30,15,35,74,31
34,72,7,54,99,13,47,30,5,82
40,5,34,97,77,73,35,11,10,30
2,60,6,37,51,82,72,33,82,17
65,37,4,24,82,33,66,81,66,64
38,42,22,26,45,60,89,88,26,78
0,40,66,6,13,32,48,35,91,92
92,9,33,21,97,90,21,96,16,39
43,18,73,65,41,20,15,52,30,31
8,76,9,30,25,2,25,14,66,5
15,18,98,5,47,70,96,34,66,76
53,4,31,40,19,65,72,16,41,41
90,44,72,33,5,26,35,79,13,65
96,6,26,57,29,41,37,14,10,44
77,69,24,6,50,14,95,92,55,22
4,6,90,22,4,0,46,18,17,53
40,45,30,58,45,74,59,32,29,65
22,86,95,69,7,38,75,38,38,17
86,53,89,49,94,41,40,88,58,40
5,80,1,7,81,56,26,2,10,10
9,23,86,86,16,48,92,85,27,39
28,33,56,98,63,20,81,6,52,47
57,27,10,94,28,92,4,86,59,40
91,29,85,45,69,20,8,80,90,51
4,39,72,57,3,10,73,23,71,7
45,24,15,3,74,5,99,47,17,53
77,83,35,37,81,93,16,65,81,89
76,77,37,17,11,95,66,75,20,97
32,1,72,71,52,38,88,30,51,24
86,42,87,42,17,28,40,19,38,11
8,32,77,91,94,42,66,89,56,45
98,34,78,21,21,54,32,70,66,50
51,98,95,27,22,67,54,10,39,52
38,9,86,61,50,3,3,12,51,45
35,87,96,57,53,35,11,37,42,28
69,73,41,15,16,84,7,46,77,4
86,8,91,7,3,1,32,98,88,5
70,51,16,84,73,12,93,81,97,64
4,62,69,69,6,83,24,4,33,55
59,46,20,58,16,84,65,34,62,54
10,77,77,21,99,8,40,56,14,57
42,42,54,85,2,20,42,42,90,38
95,46,60,54,56,96,63,59,21,67
63,57,89,28,79,84,52,30,31,33
1,90,38,58,20,54,77,90,29,70
13,72,33,31,12,9,40,97,23,47
44,5,50,99,57,4,45,52,22,8
24,36,28,84,93,31,86,82,39,75
59,7,5,41,56,67,99,17,36,81
4,81,57,99,78,3,82,0,15,62
39,38,3,67,87,85,3,33,3,1
24,17,82,26,49,4,98,29,90,44
71,42,74,93,28,1,18,21,25,54
97,25,75,87,31,0,62,14,65,98
18,47,22,53,71,47,7,3,62,6
76,24,24,87,99,7,15,11,59,48
77,28,55,28,5,20,17,2,54,81
28,48,95,76,44,62,16,2,29,15
91,93,89,6,42,69,21,93,50,7
47,71,47,72,45,8,89,80,40,84
36,64,41,68,24,45,35,43,78,61
36,8,76,99,7,79,66,48,57,38
76,8,66,9,54,49,89,71,21,33
71,49,83,55,18,25,47,86,12,19
78,43,27,85,64,19,83,38,80,56
90,58,45,15,57,1,8,42,83,57
39,81,24,37,70,37,66,74,99,90
51,50,88,98,89,19,5,46,0,8
43,86,63,71,15,24,89,62,47,4
93,18,64,61,22,7,13,34,67,39
71,15,14,77,7,97,46,21,63,90
65,87,75,12,99,75,4,42,23,4
9,79,42,92,75,36,86,82,31,52
5,47,66,13,2,98,7,57,57,66
7,86,49,1,89,93,46,37,2,63
79,96,37,34,53,27,64,46,95,55
47,49,61,4,89,39,96,10,47,61
84,22,96,75,66,49,65,89,55,89
27,93,46,32,88,28,98,94,39,84
86,63,30,96,2,1,16,57,69,6
9,40,87,9,98,23,24,49,12,68
77,80,97,14,35,76,97,79,29,57
80,15,58,77,11,80,91,35,90,43
60,47,31,11,11,48,80,84,13,96
40,25,7,1,71,2,28,80,95,36
76,6,9,71,67,42,58,35,89,97
39,58,71,69,13,28,80,82,39,42
7,42,30,53,25,87,45,54,28,73
26,3,85,69,26,9,42,98,72,25
36,65,22,80,15,49,59,5,15,30
7,33,76,52,83,19,99,97,67,41
63,78,54,75,48,12,64,58,15,30
66,73,90,69,57,81,28,87,29,46
66,25,39,58,86,19,43,23,29,4
74,95,25,93,28,45,70,17,11,94
95,10,51,88,72,78,30,34,40,16
70,86,90,16,89,7,60,41,36,61
74,33,75,5,45,36,96,52,3,51
28,98,74,17,60,9,46,67,58,67
19,5,68,91,45,83,39,9,14,41
20,89,57,72,37,4,61,22,90,66
17,38,38,24,10,57,79,16,75,55
16,42,90,90,12,66,28,86,8,40
70,26,64,51,15,28,74,34,98,24
12,44,95,27,19,0,2,31,4,45
91,82,2,0,47,97,98,22,83,45
89,81,56,64,22,41,21,56,64,7
95,23,0,13,44,39,26,4,44,42
45,58,99,58,81,69,19,0,7,19
94,38,37,8,15,39,55,82,34,84
62,40,77,46,46,89,88,59,81,29
27,52,57,16,82,76,45,79,26,28
98,52,34,71,69,44,24,72,89,90
34,52,84,99,11,41,31,61,75,44
19,53,47,92,33,33,56,52,47,37
32,79,7,80,94,21,64,18,89,5
73,76,6,37,29,72,30,49,38,88
1,84,48,56,51,75,11,54,15,15
63,93,58,11,70,21,18,41,63,24
8,20,25,88,17,76,2,90,18,17
52,29,58,18,32,5,72,77,56,81
52,53,76,49,83,22,49,96,98,84
85,22,92,18,20,9,5,14,64,98
90,28,55,62,79,14,77,81,68,39
49,39,14,53,63,27,9,63,45,83
30,10,98,41,12,8,42,13,90,14
23,65,63,88,29,72,13,79,0,35
13,36,17,26,31,28,30,40,66,36
20,26,6,11,79,62,69,0,54,93
83,24,90,26,32,21,90,68,26,9
7,11,65,19,8,1,97,34,64,60
88,71,34,86,37,6,56,39,47,52
12,29,6,88,19,32,86,44,87,7
91,45,43,44,18,74,6,5,78,33
87,29,88,73,13,89,63,92,57,89
6,67,73,20,9,98,52,88,87,60
5,94,54,72,79,23,13,22,24,51
58,13,83,39,96,13,39,22,30,46
90,45,81,12,22,29,33,47,92,42
83,11,0,96,13,9,20,86,57,82
42,20,21,32,84,63,15,27,66,60
75,67,85,41,51,33,74,32,3,87
26,77,46,21,22,96,95,28,52,73
77,23,7,0,4,84,41,6,1,60
73,99,73,96,1,18,90,57,33,59
97,64,30,43,4,97,91,26,69,31
30,50,19,92,16,39,17,70,8,79
50,69,29,64,21,49,34,26,98,15
51,9,3,31,7,68,6,82,64,83
47,4,78,42,34,13,7,89,68,21
47,82,26,85,9,94,93,85,82,61
62,97,63,17,55,68,53,5,74,83
84,26,79,61,7,88,39,61,57,70
40,84,99,32,36,45,24,59,26,0
31,46,99,36,79,99,83,77,12,21
33,78,12,37,59,30,78,79,93,47
78,90,40,15,89,63,94,76,84,81
65,30,75,21,17,39,63,66,20,35
35,23,40,12,38,69,21,68,33,89
17,89,34,73,99,91,71,54,96,45
30,51,25,1,38,48,36,61,16,4
85,44,5,40,23,61,28,58,86,93
92,31,74,49,13,61,86,94,97,0
14,28,73,23,86,81,92,30,95,35
61,85,39,26,24,92,14,65,71,71
69,78,4,5,35,1,39,9,86,92
37,91,13,73,49,14,7,72,81,77
9,44,20,84,30,34,89,47,7,86
81,43,63,44,77,30,94,76,24,25
77,0,43,97,83,7,0,87,63,39
24,0,6,23,69,78,11,74,94,73
40,70,99,1,24,61,69,79,65,35
37,40,58,68,47,54,99,87,26,8
1,70,30,53,72,39,43,69,71,48
71,55,30,13,13,44,2,64,16,39
12,32,31,9,75,67,70,40,21,75
84,56,82,14,66,50,42,66,78,49
66,34,40,0,88,48,24,85,66,54
65,26,66,73,36,12,36,14,64,11
57,30,51,33,68,83,71,77,34,47
62,25,7,62,93,83,39,20,53,57
60,5,48,46,25,98,51,95,67,45
9,38,12,95,22,35,4,31,96,15
86,61,57,97,53,12,29,99,23,91
28,64,34,79,51,9,10,33,65,83
18,56,21,93,30,78,35,23,91,58
99,19,33,44,39,22,83,54,93,78
73,59,85,41,71,50,66,2,67,99
4,16,45,84,27,46,42,79,96,14
49,83,98,69,27,73,28,28,80,77
70,48,94,54,0,98,97,51,83,6
72,83,29,37,47,99,81,22,44,64
21,99,30,65,64,62,73,92,24,95
48,29,83,42,7,23,91,66,15,26
89,60,78,93,34,11,29,69,61,70
1,18,71,12,3,90,19,93,86,8
65,32,35,71,38,57,28,57,43,22
23,89,65,1,52,66,79,71,82,32
30,84,77,73,85,94,93,96,47,24
32,78,42,22,81,20,82,79,14,60
52,81,90,90,72,85,20,80,76,15
1,80,44,65,1,57,58,55,2,94
57,93,92,14,62,77,56,30,52,85
10,33,17,3,18,84,93,60,16,93
23,42,53,40,95,41,58,31,86,22
47,32,3,29,46,17,2,16,55,62
61,12,0,10,45,78,49,92,96,38
90,53,54,75,13,22,94,3,76,89
82,93,67,64,41,74,83,1,78,9
79,36,99,39,84,72,22,12,54,48
76,79,12,61,46,23,50,87,25,70
55,47,80,64,34,77,63,58,96,89
17,56,2,79,27,82,81,88,60,39
63,72,30,55,44,29,43,12,16,91
32,63,28,6,30,48,81,47,21,53
59,97,70,91,79,50,19,63,10,16
17,41,16,67,79,77,28,43,94,94
48,2,99,22,92,11,69,82,35,52
28,70,89,29,51,38,27,77,94,23
9,34,37,93,86,73,30,83,25,50
70,8,82,22,92,32,63,98,89,23
18,93,16,46,84,74,76,32,47,11
83,17,6,18,23,79,77,97,73,25
41,38,77,78,4,80,63,96,2,48
96,24,89,9,66,55,44,48,4,69
19,60,9,23,86,17,11,67,57,49
70,72,47,99,22,89,27,11,67,5
33,62,27,78,35,4,61,61,56,19
80,1,46,61,68,81,60,98,36,25
9,28,10,6,16,85,60,19,76,70
74,95,51,86,22,79,84,24,85,99
70,84,73,51,68,42,14,99,73,55
27,23,82,36,17,0,59,89,68,54
35,34,76,85,9,77,74,66,28,27
94,48,28,3,43,59,88,72,78,55
3,30,4,96,28,33,21,5,35,85
33,27,61,55,2,60,73,27,97,67
57,73,59,32,80,90,81,66,61,45
52,53,84,28,82,21,74,31,39,40
94,47,77,9,43,84,52,22,9,42
70,30,23,72,12,60,16,19,38,55
26,73,94,91,28,5,54,14,91,97
1,3,0,70,25,38,1,24,94,23
33,41,58,87,48,54,0,89,96,31
27,58,64,86,64,40,64,62,1,63
71,85,85,35,72,89,33,84,29,51
12,92,85,97,23,47,88,18,40,55
26,97,59,26,57,17,36,7,68,19
53,41,95,83,25,38,88,53,50,81
4,42,29,79,8,33,59,57,80,52
99,15,5,34,82,89,62,46,8,31
97,25,83,65,61,18,24,71,86,18
27,83,41,7,29,52,18,97,43,46
30,69,76,89,88,54,3,40,13,11
50,41,16,5,45,49,77,51,38,61
66,33,75,89,21,91,20,78,55,86
42,14,23,27,89,5,45,23,23,43
3,55,29,34,35,8,82,96,67,10
7,48,77,23,61,60,62,71,6,77
53,10,1,13,33,65,73,2,34,79
68,58,76,60,63,89,72,78,87,33
33,68,59,75,65,36,83,70,97,1
72,33,4,75,44,49,60,4,20,61
15,86,94,20,79,92,43,21,92,22
53,30,74,54,9,23,45,72,52,76
27,95,22,71,8,26,28,33,94,20
86,67,88,2,63,93,13,35,28,56
41,11,18,16,95,29,25,70,99,67
71,3,11,19,64,68,83,39,34,27
25,33,58,68,17,78,39,10,77,77
38,92,14,60,97,79,69,70,66,7
58,23,72,56,47,78,82,43,4,56
54,35,63,35,18,28,18,56,37,88
32,78,55,68,62,31,2,69,48,88
51,94,94,90,67,96,16,34,52,51
74,59,44,32,11,45,86,63,22,37
15,85,53,59,41,19,25,69,88,48
24,39,36,4,30,69,45,10,29,6
74,17,72,68,8,66,4,64,11,36
51,80,40,70,74,96,15,67,64,82
87,33,52,58,99,51,24,15,26,78
88,44,4,77,21,2,39,78,45,85
32,35,81,89,56,35,97,12,95,2
14,62,25,11,27,1,83,94,50,72
73,69,41,34,79,39,14,54,2,64
92,88,7,44,34,38,26,20,69,41
70,81,38,84,96,2,89,20,64,39
73,35,75,92,38,51,7,67,0,58
50,31,11,13,97,20,53,83,5,57
3,57,77,37,14,12,7,66,89,50
3,69,9,72,64,55,15,17,60,16
30,54,72,83,8,39,73,59,61,20
25,9,36,75,52,66,45,73,95,20
64,31,13,18,87,39,14,69,51,75
36,31,6,76,85,45,4,42,61,35
43,69,55,63,68,74,68,61,78,22
45,10,66,89,89,33,4,42,86,26
16,58,40,29,39,44,78,13,33,93
40,33,65,76,24,50,91,54,41,86
44,1,19,80,11,84,55,54,39,53
18,63,57,5,61,1,19,4,10,48
8,9,15,48,46,75,64,18,75,28
13,82,87,39,73,23,62,56,21,21
41,16,81,22,71,86,64,40,71,24
32,19,55,33,1,71,26,14,22,13
39,53,77,39,60,46,25,67,70,94
52,72,50,75,2,26,42,64,61,98
30,92,70,31,45,97,25,0,58,13
70,66,10,17,31,5,46,14,90,44
66,37,51,94,88,12,92,29,81,46
87,91,65,81,13,66,51,28,81,10
12,99,99,40,26,12,15,36,88,3
48,53,51,81,0,92,98,91,70,21
46,96,52,98,50,88,21,93,5,91
35,12,83,62,11,9,3,18,73,53
26,25,41,24,22,95,52,4,6,29
2,64,19,27,82,78,70,7,6,56
79,22,76,60,37,24,0,43,66,3
0,2,94,98,8,32,8,11,52,90
64,46,52,61,90,65,18,27,27,47
0,72,41,16,25,56,46,13,33,40
83,67,50,74,76,0,77,5,24,41
16,39,4,71,17,36,40,64,0,5
0,37,5,58,61,82,31,9,58,89
53,16,6,6,11,1,85,60,50,81
81,58,84,99,83,18,57,72,92,16
53,66,42,22,39,84,44,66,80,76
23,22,93,3,22,85,8,72,19,91
19,64,98,84,65,50,33,28,75,11
65,14,14,35,57,38,14,78,39,95
66,29,31,6,17,97,6,18,18,15
14,45,18,87,49,86,14,78,65,21
39,99,12,68,68,45,26,70,19,41
11,76,19,48,51,1,16,52,51,37
